101,Star Wars VII: The Force Awakens,2015,8.2
102,Rogue One: A Star Wars Story,2016,8
103,Star Wars III: Revenge of the Sith,2005,8
104,Legally Blonde,2001,6.2
105,The Parent Trap ,1998,6.5
106,Clueless,1995,6.8
107,The Devil Wears Prada,2006,6.9
108,Apollo 13,1995,7.6
109,Breakfast at Tiffany's,1961,7.7
110,Space Jam,1996,6.4
111,Jaws,1975,8
112,The Breakfast Club,1985,7.9
113,The Lion King,1994,8.5
114,Star Wars IV: A New Hope,1977,8.6
115,Ferris Bueller's Day Off,1986,7.8
116,Psycho,1960,8.5
117,The Titanic,1997,7.8
118,Home Alone,1990,7.5
119,Grease,1978,7.2
120,Bohemian Rhapsody,2018,8.4
121,Sully,2016,7.5
122,The Great Gatsby,2013,7.3
123,Divergent,2015,9
124,The Martian,2015,9
125,E.T.,1982,6
126,Jurrasic Park,1993,8
127,Duel,1971,7
128,A Beautiful Mind,2001,8
129,The DaVinci Code,2006,9
130,The Mule,2017,6
